lote,n_inspeccionadas,n_defectuosas,causa_principal,p,LCS,LCI,fuera,fuera_const,z
1,260,13,Peso fuera de rango,0.05,0.07724688548652536,0.003851702413461673,False,False,0.7725879809249981
2,296,18,Peso fuera de rango,0.060810810810810814,0.07494295293459666,0.006155634965390386,False,False,1.7673185225701935
3,319,12,Peso fuera de rango,0.03761755485893417,0.07367986296273002,0.0074187249372570305,False,False,-0.2654713618047694
4,318,14,Rotulado,0.0440251572327044,0.07373191416373709,0.007366673736249947,False,False,0.31424853676304126
5,254,12,Peso fuera de rango,0.047244094488188976,0.07767779173804656,0.0034207961619404717,False,False,0.540943017119561
6,351,12,Sello defectuoso,0.03418803418803419,0.07213355192041798,0.008965035979569054,False,False,-0.6042180665997618
7,367,10,Sello defectuoso,0.027247956403269755,0.07143739463632807,0.009661193263658968,False,False,-1.2918894899169229
8,278,5,Peso fuera de rango,0.017985611510791366,0.07603895392915545,0.00505963397083159,False,False,-1.9073456143944987
9,346,14,Sello defectuoso,0.04046242774566474,0.07236094332271804,0.008737644577269,False,False,-0.008191923968889889
10,280,12,Peso fuera de rango,0.04285714285714286,0.0759119779944247,0.005186609905562342,False,False,0.19578679923585468
11,347,11,Sello defectuoso,0.03170028818443804,0.07231507213898224,0.008783515761004806,False,False,-0.8357112216400445
12,373,23,Sello defectuoso,0.06166219839142091,0.07118795770784861,0.00991063019213843,False,False,2.0672805388924145
13,307,12,Rotulado,0.03908794788273615,0.07432115927111929,0.0067774286288677585,False,False,-0.1298133271611059
14,264,10,Rotulado,0.03787878787878788,0.07696781229925001,0.004130775600737026,False,False,-0.2199847378958646
15,359,31,Sello defectuoso,0.08635097493036212,0.07177965550704687,0.009318932392940175,True,True,4.399726294877716
16,397,15,Sello defectuoso,0.037783375314861464,0.07024741567907179,0.01085117222091525,False,False,-0.2794033905946181
17,346,4,Abolladura,0.011560693641618497,0.07236094332271804,0.008737644577269,False,False,-2.733772144480192
18,384,21,Sello defectuoso,0.0546875,0.0707459341462828,0.010352653753704248,False,False,1.404613820422034
19,252,8,Sello defectuoso,0.031746031746031744,0.0778248358690927,0.0032737520308943543,False,False,-0.7085017481222329
20,316,11,Peso fuera de rango,0.03481012658227848,0.07383675682692015,0.007261831073066889,False,False,-0.517236839791702
21,288,8,Rotulado,0.027777777777777776,0.0754173706418933,0.00568121725809375,False,False,-1.0988431869988433
22,347,13,Peso fuera de rango,0.037463976945244955,0.07231507213898224,0.008783515761004806,False,False,-0.2913812140592917
23,325,12,Sello defectuoso,0.036923076923076927,0.073372617664476,0.007725970235511047,False,False,-0.3314305149405041
24,345,12,Rotulado,0.034782608695652174,0.07240701380213987,0.008691574097847161,False,False,-0.5430412422268344
